R36S card cheat sheet - which folder on EASYROMS takes which files (from the OS's es_systems.cfg)
Copy games into F:\<Folder>\ then run:  pwsh -File D:\Games\R36S-tools\update-card.ps1


Folder          System                            Extensions
sgb             Nintendo - SGB                    .7z .dmg .gb .gbc .zip
snes            Nintendo - Super NES              .7z .fig .sfc .smc .zip
snes-hacks      Nintendo - Super NES Hacks        .7z .bs .bsx .dx2 .fig .gd3 .gd7 .sfc .smc .st .swc .zip
snesmsu1        Nintendo - Super NES CD           .7z .sfc .smc .zip
solarus         Solarus                           .solarus .zip
sufami          Nintendo - SuFami Turbo           .7z .smc .zip
supergrafx      NEC - Super Grafx                 .7z .ccd .chd .cue .pce .sgx .zip
supervision     Watara - Supervision              .7z .bin .zip
thomson         Theodore - Thomson                .fd .k7 .m5 .m7 .rom .sap
ti99            TI99                              .ctg
tic80           Tic-80                            .tic
turbografx      NEC - Turbografx 16               .7z .chd .pce .zip
turbografxcd    NEC - Turbografx CD               .ccd .chd .cue .img .iso .m3u .pce .zip
tvc             Videoton TV-Computer              .cas
uzebox          Uzebox                            .uze
vectrex         Vectrex                           .7z .vec .zip
vic20           Commodore - VIC-20                .20 .40 .60 .7z .a0 .b0 .bin .cmd .crt .d2m .d4m .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .gz .m3u .nbz .nib .p00 .prg .rom .t64 .…
videopac        Philips Videopac G7000            .bin .zip
virtualboy      Nintendo - Virtualboy             .7z .vb .vboy .zip
vmac            Apple - Macintosh                 .cmd .dsk .hvf .img .zip
vmu             Sega - Dreamcast VMU              .bin .vms
wasm4           WASM-4                            .wasm
wolf            Wolfenstein                       .ecwolf .wolf
wonderswan      Bandai - WonderSwan               .7z .pc2 .ws .wsc .zip
wonderswancolor Bandai - WonderSwan Color         .7z .pc2 .ws .wsc .zip
x1              Sharp - X1                        .2d .2hd .88d .cmd .d88 .dup .dx1 .hdm .tfd .xdf .zip
x68000          Sharp - x68000                    .2hd .88d .cmd .d88 .dim .dup .hdf .hdm .img .m3u .xdf .zip
zx81            ZX81                              .p .tzx .zip
zxspectrum      ZX Spectrum                       .7z .dsk .gz .img .mgt .scl .sna .szx .tap .trd .tzx .udi .z80 .zip


